action,original comment,guide,video_url,gameId,frameId,prefer,comments
Pass,the event starts with a freekick leading to a big chance. Guide attacking to take better shot,attacking,https://epitome-staging.pff.com/en/film_room/3d33358d-8edb-4e07-b70c-bbfa7b662b7a/4870.904,2367830,117893,,
Pass,the event starts with a key pass. Guide attacking team to finish better,attacking,https://epitome-staging.pff.com/en/film_room/8bf37ee1-898d-44e9-a538-c04342bf8ef4/4297,2370870,101489,,
Pass,the event starts with a perfect cross. Guide attacking to do better,attacking,https://epitome-staging.pff.com/en/film_room/ffd0e150-aea4-423b-973d-01339f46062f/835.4,2370982,20781,,
Pass,event starts with a long throw-in. Guide attacking team to finish better,attacking,https://epitome-staging.pff.com/en/film_room/2b6e14fa-9ad3-4eca-bf2e-012a7e81c57f/5357,2450451,126832,,
Pass,event starts with a long pass (key pass). Guide attacking team to finish better,attacking,https://epitome-staging.pff.com/en/film_room/de19354a-7326-4e84-8d8f-d298f9067d9f/5306,2450488,130479,,
Pass,Defense team to prevent switch of play,defending,epitome-staging.pff.com/en/film_room/dae0f7d5-5b67-4b41-ab85-f14797d45107/6072.339,2367731,148399,,
Pass,Defense team to prevent switch of play,defending,epitome-staging.pff.com/en/film_room/3d33358d-8edb-4e07-b70c-bbfa7b662b7a/1819.185875,2367830,43198,,
Pass,Guide team to take better advantage of the situation,attacking,epitome-staging.pff.com/en/film_room/f8a9ca28-64dc-4f06-a8f6-cee3aa7afa87/5875.731,2450301,144560,,
Pass,Better guide the defense to avoid opportunity,defending,epitome-staging.pff.com/en/film_room/99cf83a9-589a-489a-8a8b-65d1838d0b12/5089.556,2367592,121373,,
Pass,Better guide the defense to avoid opportunity,defending,epitome-staging.pff.com/en/film_room/9e8c107e-3358-486b-8a49-7ecb9b069705/834.701375,2367751,16018,,
Pass,Better guide the defense to avoid opportunity,defending,epitome-staging.pff.com/en/film_room/4a183284-c099-4262-8534-bc681b407821/968.969,2367824,24038,,
Pass,Better guide the defense to avoid opportunity,defending,epitome-staging.pff.com/en/film_room/3361b3bf-ce3d-40d1-a917-eb03796b14f9/5419.0525,2367917,129474,,
Pass,Better guide the defense to avoid opportunity,defending,epitome-staging.pff.com/en/film_room/71fc8870-efdb-4925-b854-454687da3586/2280.619,2370759,56976,,
Pass,Better guide the defense to avoid opportunity,defending,epitome-staging.pff.com/en/film_room/d8d60583-e020-4f08-bbf2-a9ef0a938a23/1480.4565,2370831,36826,,
Pass,Better guide the defense to avoid opportunity,defending,epitome-staging.pff.com/en/film_room/38071a03-270f-486b-9f9e-eaaeb2a13e44/5192.2255,2371026,123752,,
